"iweek","start_date","end_date"
410,2007-12-31,2008-01-06
411,2008-01-07,2008-01-13
412,2008-01-14,2008-01-20
413,2008-01-21,2008-01-27
414,2008-01-28,2008-02-03
415,2008-02-04,2008-02-10
416,2008-02-11,2008-02-17
417,2008-02-18,2008-02-24
418,2008-02-25,2008-03-02
419,2008-03-03,2008-03-09
420,2008-03-10,2008-03-16
421,2008-03-17,2008-03-23
422,2008-03-24,2008-03-30
423,2008-03-31,2008-04-06
424,2008-04-07,2008-04-13
425,2008-04-14,2008-04-20
426,2008-04-21,2008-04-27
427,2008-04-28,2008-05-04
428,2008-05-05,2008-05-11
429,2008-05-12,2008-05-18
430,2008-05-19,2008-05-25
431,2008-05-26,2008-06-01
432,2008-06-02,2008-06-08
433,2008-06-09,2008-06-15
434,2008-06-16,2008-06-22
435,2008-06-23,2008-06-29
436,2008-06-30,2008-07-06
437,2008-07-07,2008-07-13
438,2008-07-14,2008-07-20
439,2008-07-21,2008-07-27
440,2008-07-28,2008-08-03
441,2008-08-04,2008-08-10
442,2008-08-11,2008-08-17
443,2008-08-18,2008-08-24
444,2008-08-25,2008-08-31
445,2008-09-01,2008-09-07
446,2008-09-08,2008-09-14
447,2008-09-15,2008-09-21
448,2008-09-22,2008-09-28
449,2008-09-29,2008-10-05
450,2008-10-06,2008-10-12
451,2008-10-13,2008-10-19
452,2008-10-20,2008-10-26
453,2008-10-27,2008-11-02
454,2008-11-03,2008-11-09
455,2008-11-10,2008-11-16
456,2008-11-17,2008-11-23
457,2008-11-24,2008-11-30
458,2008-12-01,2008-12-07
459,2008-12-08,2008-12-14
460,2008-12-15,2008-12-21
461,2008-12-22,2008-12-28
462,2008-12-29,2009-01-04
463,2009-01-05,2009-01-11
464,2009-01-12,2009-01-18
465,2009-01-19,2009-01-25
466,2009-01-26,2009-02-01
467,2009-02-02,2009-02-08
468,2009-02-09,2009-02-15
469,2009-02-16,2009-02-22
470,2009-02-23,2009-03-01
471,2009-03-02,2009-03-08
472,2009-03-09,2009-03-15
473,2009-03-16,2009-03-22
474,2009-03-23,2009-03-29
475,2009-03-30,2009-04-05
476,2009-04-06,2009-04-12
477,2009-04-13,2009-04-19
478,2009-04-20,2009-04-26
479,2009-04-27,2009-05-03
480,2009-05-04,2009-05-10
481,2009-05-11,2009-05-17
482,2009-05-18,2009-05-24
483,2009-05-25,2009-05-31
484,2009-06-01,2009-06-07
485,2009-06-08,2009-06-14
486,2009-06-15,2009-06-21
487,2009-06-22,2009-06-28
488,2009-06-29,2009-07-05
489,2009-07-06,2009-07-12
490,2009-07-13,2009-07-19
491,2009-07-20,2009-07-26
492,2009-07-27,2009-08-02
493,2009-08-03,2009-08-09
494,2009-08-10,2009-08-16
495,2009-08-17,2009-08-23
496,2009-08-24,2009-08-30
497,2009-08-31,2009-09-06
498,2009-09-07,2009-09-13
499,2009-09-14,2009-09-20
500,2009-09-21,2009-09-27
501,2009-09-28,2009-10-04
502,2009-10-05,2009-10-11
503,2009-10-12,2009-10-18
504,2009-10-19,2009-10-25
505,2009-10-26,2009-11-01
506,2009-11-02,2009-11-08
507,2009-11-09,2009-11-15
508,2009-11-16,2009-11-22
509,2009-11-23,2009-11-29
510,2009-11-30,2009-12-06
511,2009-12-07,2009-12-13
512,2009-12-14,2009-12-20
513,2009-12-21,2009-12-27
514,2009-12-28,2010-01-03
515,2010-01-04,2010-01-10
516,2010-01-11,2010-01-17
517,2010-01-18,2010-01-24
518,2010-01-25,2010-01-31
519,2010-02-01,2010-02-07
520,2010-02-08,2010-02-14
521,2010-02-15,2010-02-21
522,2010-02-22,2010-02-28
523,2010-03-01,2010-03-07
524,2010-03-08,2010-03-14
525,2010-03-15,2010-03-21
526,2010-03-22,2010-03-28
527,2010-03-29,2010-04-04
528,2010-04-05,2010-04-11
529,2010-04-12,2010-04-18
530,2010-04-19,2010-04-25
531,2010-04-26,2010-05-02
532,2010-05-03,2010-05-09
533,2010-05-10,2010-05-16
534,2010-05-17,2010-05-23
535,2010-05-24,2010-05-30
536,2010-05-31,2010-06-06
537,2010-06-07,2010-06-13
538,2010-06-14,2010-06-20
539,2010-06-21,2010-06-27
540,2010-06-28,2010-07-04
541,2010-07-05,2010-07-11
542,2010-07-12,2010-07-18
543,2010-07-19,2010-07-25
544,2010-07-26,2010-08-01
545,2010-08-02,2010-08-08
546,2010-08-09,2010-08-15
547,2010-08-16,2010-08-22
548,2010-08-23,2010-08-29
549,2010-08-30,2010-09-05
550,2010-09-06,2010-09-12
551,2010-09-13,2010-09-19
552,2010-09-20,2010-09-26
553,2010-09-27,2010-10-03
554,2010-10-04,2010-10-10
555,2010-10-11,2010-10-17
556,2010-10-18,2010-10-24
557,2010-10-25,2010-10-31
558,2010-11-01,2010-11-07
559,2010-11-08,2010-11-14
560,2010-11-15,2010-11-21
561,2010-11-22,2010-11-28
562,2010-11-29,2010-12-05
563,2010-12-06,2010-12-12
564,2010-12-13,2010-12-19
565,2010-12-20,2010-12-26
566,2010-12-27,2011-01-02
567,2011-01-03,2011-01-09
568,2011-01-10,2011-01-16
569,2011-01-17,2011-01-23
570,2011-01-24,2011-01-30
571,2011-01-31,2011-02-06
572,2011-02-07,2011-02-13
573,2011-02-14,2011-02-20
574,2011-02-21,2011-02-27
575,2011-02-28,2011-03-06
576,2011-03-07,2011-03-13
577,2011-03-14,2011-03-20
578,2011-03-21,2011-03-27
579,2011-03-28,2011-04-03
580,2011-04-04,2011-04-10
581,2011-04-11,2011-04-17
582,2011-04-18,2011-04-24
583,2011-04-25,2011-05-01
584,2011-05-02,2011-05-08
585,2011-05-09,2011-05-15
586,2011-05-16,2011-05-22
587,2011-05-23,2011-05-29
588,2011-05-30,2011-06-05
589,2011-06-06,2011-06-12
590,2011-06-13,2011-06-19
591,2011-06-20,2011-06-26
592,2011-06-27,2011-07-03
593,2011-07-04,2011-07-10
594,2011-07-11,2011-07-17
595,2011-07-18,2011-07-24
596,2011-07-25,2011-07-31
597,2011-08-01,2011-08-07
598,2011-08-08,2011-08-14
599,2011-08-15,2011-08-21
600,2011-08-22,2011-08-28
601,2011-08-29,2011-09-04
602,2011-09-05,2011-09-11
603,2011-09-12,2011-09-18
604,2011-09-19,2011-09-25
605,2011-09-26,2011-10-02
606,2011-10-03,2011-10-09
607,2011-10-10,2011-10-16
608,2011-10-17,2011-10-23
609,2011-10-24,2011-10-30
610,2011-10-31,2011-11-06
611,2011-11-07,2011-11-13
612,2011-11-14,2011-11-20
613,2011-11-21,2011-11-27
614,2011-11-28,2011-12-04
615,2011-12-05,2011-12-11
616,2011-12-12,2011-12-18
617,2011-12-19,2011-12-25
618,2011-12-26,2012-01-01
619,2012-01-02,2012-01-08
620,2012-01-09,2012-01-15
621,2012-01-16,2012-01-22
622,2012-01-23,2012-01-29
623,2012-01-30,2012-02-05
624,2012-02-06,2012-02-12
625,2012-02-13,2012-02-19
626,2012-02-20,2012-02-26
627,2012-02-27,2012-03-04
628,2012-03-05,2012-03-11
629,2012-03-12,2012-03-18
630,2012-03-19,2012-03-25
631,2012-03-26,2012-04-01
632,2012-04-02,2012-04-08
633,2012-04-09,2012-04-15
634,2012-04-16,2012-04-22
635,2012-04-23,2012-04-29
636,2012-04-30,2012-05-06
637,2012-05-07,2012-05-13
638,2012-05-14,2012-05-20
639,2012-05-21,2012-05-27
640,2012-05-28,2012-06-03
641,2012-06-04,2012-06-10
642,2012-06-11,2012-06-17
643,2012-06-18,2012-06-24
644,2012-06-25,2012-07-01
645,2012-07-02,2012-07-08
646,2012-07-09,2012-07-15
647,2012-07-16,2012-07-22
648,2012-07-23,2012-07-29
649,2012-07-30,2012-08-05
650,2012-08-06,2012-08-12
651,2012-08-13,2012-08-19
652,2012-08-20,2012-08-26
653,2012-08-27,2012-09-02
654,2012-09-03,2012-09-09
655,2012-09-10,2012-09-16
656,2012-09-17,2012-09-23
657,2012-09-24,2012-09-30
658,2012-10-01,2012-10-07
659,2012-10-08,2012-10-14
660,2012-10-15,2012-10-21
661,2012-10-22,2012-10-28
662,2012-10-29,2012-11-04
663,2012-11-05,2012-11-11
664,2012-11-12,2012-11-18
665,2012-11-19,2012-11-25
666,2012-11-26,2012-12-02
667,2012-12-03,2012-12-09
668,2012-12-10,2012-12-16
669,2012-12-17,2012-12-23
670,2012-12-24,2012-12-30
671,2012-12-31,2013-01-06
672,2013-01-07,2013-01-13
673,2013-01-14,2013-01-20
674,2013-01-21,2013-01-27
675,2013-01-28,2013-02-03
676,2013-02-04,2013-02-10
677,2013-02-11,2013-02-17
678,2013-02-18,2013-02-24
679,2013-02-25,2013-03-03
680,2013-03-04,2013-03-10
681,2013-03-11,2013-03-17
682,2013-03-18,2013-03-24
683,2013-03-25,2013-03-31
684,2013-04-01,2013-04-07
685,2013-04-08,2013-04-14
686,2013-04-15,2013-04-21
687,2013-04-22,2013-04-28
688,2013-04-29,2013-05-05
689,2013-05-06,2013-05-12
690,2013-05-13,2013-05-19
691,2013-05-20,2013-05-26
692,2013-05-27,2013-06-02
693,2013-06-03,2013-06-09
694,2013-06-10,2013-06-16
695,2013-06-17,2013-06-23
696,2013-06-24,2013-06-30
697,2013-07-01,2013-07-07
698,2013-07-08,2013-07-14
699,2013-07-15,2013-07-21
700,2013-07-22,2013-07-28
701,2013-07-29,2013-08-04
702,2013-08-05,2013-08-11
703,2013-08-12,2013-08-18
704,2013-08-19,2013-08-25
705,2013-08-26,2013-09-01
706,2013-09-02,2013-09-08
707,2013-09-09,2013-09-15
708,2013-09-16,2013-09-22
709,2013-09-23,2013-09-29
710,2013-09-30,2013-10-06
711,2013-10-07,2013-10-13
712,2013-10-14,2013-10-20
713,2013-10-21,2013-10-27
714,2013-10-28,2013-11-03
715,2013-11-04,2013-11-10
716,2013-11-11,2013-11-17
717,2013-11-18,2013-11-24
718,2013-11-25,2013-12-01
719,2013-12-02,2013-12-08
720,2013-12-09,2013-12-15
721,2013-12-16,2013-12-22
722,2013-12-23,2013-12-29
723,2013-12-30,2014-01-05
724,2014-01-06,2014-01-12
725,2014-01-13,2014-01-19
726,2014-01-20,2014-01-26
727,2014-01-27,2014-02-02
728,2014-02-03,2014-02-09
729,2014-02-10,2014-02-16
730,2014-02-17,2014-02-23
731,2014-02-24,2014-03-02
732,2014-03-03,2014-03-09
733,2014-03-10,2014-03-16
734,2014-03-17,2014-03-23
735,2014-03-24,2014-03-30
736,2014-03-31,2014-04-06
737,2014-04-07,2014-04-13
738,2014-04-14,2014-04-20
739,2014-04-21,2014-04-27
740,2014-04-28,2014-05-04
741,2014-05-05,2014-05-11
742,2014-05-12,2014-05-18
743,2014-05-19,2014-05-25
744,2014-05-26,2014-06-01
745,2014-06-02,2014-06-08
746,2014-06-09,2014-06-15
747,2014-06-16,2014-06-22
748,2014-06-23,2014-06-29
749,2014-06-30,2014-07-06
750,2014-07-07,2014-07-13
751,2014-07-14,2014-07-20
752,2014-07-21,2014-07-27
753,2014-07-28,2014-08-03
754,2014-08-04,2014-08-10
755,2014-08-11,2014-08-17
756,2014-08-18,2014-08-24
757,2014-08-25,2014-08-31
758,2014-09-01,2014-09-07
759,2014-09-08,2014-09-14
760,2014-09-15,2014-09-21
761,2014-09-22,2014-09-28
762,2014-09-29,2014-10-05
763,2014-10-06,2014-10-12
764,2014-10-13,2014-10-19
765,2014-10-20,2014-10-26
766,2014-10-27,2014-11-02
767,2014-11-03,2014-11-09
768,2014-11-10,2014-11-16
769,2014-11-17,2014-11-23
770,2014-11-24,2014-11-30
771,2014-12-01,2014-12-07
772,2014-12-08,2014-12-14
773,2014-12-15,2014-12-21
774,2014-12-22,2014-12-28
775,2014-12-29,2015-01-04
776,2015-01-05,2015-01-11
777,2015-01-12,2015-01-18
778,2015-01-19,2015-01-25
779,2015-01-26,2015-02-01
780,2015-02-02,2015-02-08
781,2015-02-09,2015-02-15
782,2015-02-16,2015-02-22
783,2015-02-23,2015-03-01
784,2015-03-02,2015-03-08
785,2015-03-09,2015-03-15
786,2015-03-16,2015-03-22
787,2015-03-23,2015-03-29
788,2015-03-30,2015-04-05
789,2015-04-06,2015-04-12
790,2015-04-13,2015-04-19
791,2015-04-20,2015-04-26
792,2015-04-27,2015-05-03
793,2015-05-04,2015-05-10
794,2015-05-11,2015-05-17
795,2015-05-18,2015-05-24
796,2015-05-25,2015-05-31
797,2015-06-01,2015-06-07
798,2015-06-08,2015-06-14
799,2015-06-15,2015-06-21
800,2015-06-22,2015-06-28
801,2015-06-29,2015-07-05
802,2015-07-06,2015-07-12
803,2015-07-13,2015-07-19
804,2015-07-20,2015-07-26
805,2015-07-27,2015-08-02
806,2015-08-03,2015-08-09
807,2015-08-10,2015-08-16
808,2015-08-17,2015-08-23
809,2015-08-24,2015-08-30
810,2015-08-31,2015-09-06
811,2015-09-07,2015-09-13
812,2015-09-14,2015-09-20
813,2015-09-21,2015-09-27
814,2015-09-28,2015-10-04
815,2015-10-05,2015-10-11
816,2015-10-12,2015-10-18
817,2015-10-19,2015-10-25
818,2015-10-26,2015-11-01
819,2015-11-02,2015-11-08
820,2015-11-09,2015-11-15
821,2015-11-16,2015-11-22
822,2015-11-23,2015-11-29
823,2015-11-30,2015-12-06
824,2015-12-07,2015-12-13
825,2015-12-14,2015-12-20
826,2015-12-21,2015-12-27
827,2015-12-28,2016-01-03
828,2016-01-04,2016-01-10
829,2016-01-11,2016-01-17
830,2016-01-18,2016-01-24
831,2016-01-25,2016-01-31
832,2016-02-01,2016-02-07
833,2016-02-08,2016-02-14
834,2016-02-15,2016-02-21
835,2016-02-22,2016-02-28
836,2016-02-29,2016-03-06
837,2016-03-07,2016-03-13
838,2016-03-14,2016-03-20
839,2016-03-21,2016-03-27
840,2016-03-28,2016-04-03
841,2016-04-04,2016-04-10
842,2016-04-11,2016-04-17
843,2016-04-18,2016-04-24
844,2016-04-25,2016-05-01
845,2016-05-02,2016-05-08
846,2016-05-09,2016-05-15
847,2016-05-16,2016-05-22
848,2016-05-23,2016-05-29
849,2016-05-30,2016-06-05
850,2016-06-06,2016-06-12
851,2016-06-13,2016-06-19
852,2016-06-20,2016-06-26
853,2016-06-27,2016-07-03
854,2016-07-04,2016-07-10
855,2016-07-11,2016-07-17
856,2016-07-18,2016-07-24
857,2016-07-25,2016-07-31
858,2016-08-01,2016-08-07
859,2016-08-08,2016-08-14
860,2016-08-15,2016-08-21
861,2016-08-22,2016-08-28
862,2016-08-29,2016-09-04
863,2016-09-05,2016-09-11
864,2016-09-12,2016-09-18
865,2016-09-19,2016-09-25
866,2016-09-26,2016-10-02
867,2016-10-03,2016-10-09
868,2016-10-10,2016-10-16
869,2016-10-17,2016-10-23
870,2016-10-24,2016-10-30
871,2016-10-31,2016-11-06
872,2016-11-07,2016-11-13
873,2016-11-14,2016-11-20
874,2016-11-21,2016-11-27
875,2016-11-28,2016-12-04
876,2016-12-05,2016-12-11
877,2016-12-12,2016-12-18
878,2016-12-19,2016-12-25
879,2016-12-26,2017-01-01
880,2017-01-02,2017-01-08
881,2017-01-09,2017-01-15
882,2017-01-16,2017-01-22
883,2017-01-23,2017-01-29
884,2017-01-30,2017-02-05
885,2017-02-06,2017-02-12
886,2017-02-13,2017-02-19
887,2017-02-20,2017-02-26
888,2017-02-27,2017-03-05
889,2017-03-06,2017-03-12
890,2017-03-13,2017-03-19
891,2017-03-20,2017-03-26
892,2017-03-27,2017-04-02
893,2017-04-03,2017-04-09
894,2017-04-10,2017-04-16
895,2017-04-17,2017-04-23
896,2017-04-24,2017-04-30
897,2017-05-01,2017-05-07
898,2017-05-08,2017-05-14
899,2017-05-15,2017-05-21
900,2017-05-22,2017-05-28
901,2017-05-29,2017-06-04
902,2017-06-05,2017-06-11
903,2017-06-12,2017-06-18
904,2017-06-19,2017-06-25
905,2017-06-26,2017-07-02
906,2017-07-03,2017-07-09
907,2017-07-10,2017-07-16
908,2017-07-17,2017-07-23
909,2017-07-24,2017-07-30
910,2017-07-31,2017-08-06
911,2017-08-07,2017-08-13
912,2017-08-14,2017-08-20
913,2017-08-21,2017-08-27
914,2017-08-28,2017-09-03
915,2017-09-04,2017-09-10
916,2017-09-11,2017-09-17
917,2017-09-18,2017-09-24
918,2017-09-25,2017-10-01
919,2017-10-02,2017-10-08
920,2017-10-09,2017-10-15
921,2017-10-16,2017-10-22
922,2017-10-23,2017-10-29
923,2017-10-30,2017-11-05
924,2017-11-06,2017-11-12
925,2017-11-13,2017-11-19
926,2017-11-20,2017-11-26
927,2017-11-27,2017-12-03
928,2017-12-04,2017-12-10
929,2017-12-11,2017-12-17
930,2017-12-18,2017-12-24
931,2017-12-25,2017-12-31
